id,from_asset,to_asset,milestone_year,rep_period,capacity_coefficient,conversion_coefficient,time_block_start,time_block_end,solution
262,BG_Pump_Hydro_Open,BG_E_Demand,2050,1,1.0,1.0,13,16,0.0
263,BG_Pump_Hydro_Open,BG_E_Demand,2050,1,1.0,1.0,17,20,0.0
264,BG_Pump_Hydro_Open,BG_E_Demand,2050,1,1.0,1.0,21,24,0.49492518969650856
265,BG_Solar,BG_E_Demand,2050,1,1.0,1.0,1,4,-0.0
266,BG_Solar,BG_E_Demand,2050,1,1.0,1.0,5,8,0.9736615107342689
267,BG_Solar,BG_E_Demand,2050,1,1.0,1.0,9,12,4.942110467445731
268,BG_Solar,BG_E_Demand,2050,1,1.0,1.0,13,16,4.390637436593726
269,BG_Solar,BG_E_Demand,2050,1,1.0,1.0,17,20,0.6663434173836084
270,BG_Solar,BG_E_Demand,2050,1,1.0,1.0,21,24,-0.0
271,BG_Wind_Onshore,BG_E_Demand,2050,1,1.0,1.0,1,4,2.3367495952995285
272,BG_Wind_Onshore,BG_E_Demand,2050,1,1.0,1.0,5,8,2.231250813785377
273,BG_Wind_Onshore,BG_E_Demand,2050,1,1.0,1.0,9,12,2.0108299115589623
274,BG_Wind_Onshore,BG_E_Demand,2050,1,1.0,1.0,13,16,2.245055267101415
275,BG_Wind_Onshore,BG_E_Demand,2050,1,1.0,1.0,17,20,2.3902699557948113
276,BG_Wind_Onshore,BG_E_Demand,2050,1,1.0,1.0,21,24,2.4146033899033013
277,BG_electrolyzer,BG_H_Demand,2050,1,1.0,1.0,1,4,1.51826484
278,BG_electrolyzer,BG_H_Demand,2050,1,1.0,1.0,5,8,1.51826484
279,BG_electrolyzer,BG_H_Demand,2050,1,1.0,1.0,9,12,1.51826484
280,BG_electrolyzer,BG_H_Demand,2050,1,1.0,1.0,13,16,1.51826484
281,BG_electrolyzer,BG_H_Demand,2050,1,1.0,1.0,17,20,1.51826484
282,BG_electrolyzer,BG_H_Demand,2050,1,1.0,1.0,21,24,1.51826484
283,CH_Battery,CH_E_Demand,2050,1,1.0,1.0,1,4,0.0
284,CH_Battery,CH_E_Demand,2050,1,1.0,1.0,5,8,0.0
285,CH_Battery,CH_E_Demand,2050,1,1.0,1.0,9,12,0.0
286,CH_Battery,CH_E_Demand,2050,1,1.0,1.0,13,16,0.0
287,CH_Battery,CH_E_Demand,2050,1,1.0,1.0,17,20,0.0
288,CH_Battery,CH_E_Demand,2050,1,1.0,1.0,21,24,3.7875
289,CH_E_Demand,FR_E_Demand,2050,1,1.0,1.0,1,4,-3.72150887902053
290,CH_E_Demand,FR_E_Demand,2050,1,1.0,1.0,5,8,-6.5
291,CH_E_Demand,FR_E_Demand,2050,1,1.0,1.0,9,12,-6.5
292,CH_E_Demand,FR_E_Demand,2050,1,1.0,1.0,13,16,-6.5
