id,asset,year,rep_period,time_block_start,time_block_end,dual_balance_consumer
393,CY_E_Demand,2050,3,9,12,-0.0
394,CY_E_Demand,2050,3,13,16,-0.0
395,CY_E_Demand,2050,3,17,20,-0.0
396,CY_E_Demand,2050,3,21,24,-0.0
397,CY_H_Demand,2050,1,1,1,-14691.565108465593
398,CY_H_Demand,2050,1,2,2,4897.188369488531
399,CY_H_Demand,2050,1,3,3,4897.188369488531
400,CY_H_Demand,2050,1,4,4,4897.188369488531
401,CY_H_Demand,2050,1,5,5,-14691.565108465593
402,CY_H_Demand,2050,1,6,6,4897.188369488531
403,CY_H_Demand,2050,1,7,7,4897.188369488531
404,CY_H_Demand,2050,1,8,8,4897.188369488531
405,CY_H_Demand,2050,1,9,9,-14691.565108465593
406,CY_H_Demand,2050,1,10,10,4897.188369488531
407,CY_H_Demand,2050,1,11,11,4897.188369488531
408,CY_H_Demand,2050,1,12,12,4897.188369488531
409,CY_H_Demand,2050,1,13,13,-14691.565108465593
410,CY_H_Demand,2050,1,14,14,4897.188369488531
411,CY_H_Demand,2050,1,15,15,4897.188369488531
412,CY_H_Demand,2050,1,16,16,4897.188369488531
413,CY_H_Demand,2050,1,17,17,-14691.565108465593
414,CY_H_Demand,2050,1,18,18,4897.188369488531
415,CY_H_Demand,2050,1,19,19,4897.188369488531
416,CY_H_Demand,2050,1,20,20,4897.188369488531
417,CY_H_Demand,2050,1,21,21,-14691.565108465593
418,CY_H_Demand,2050,1,22,22,4897.188369488531
419,CY_H_Demand,2050,1,23,23,4897.188369488531
420,CY_H_Demand,2050,1,24,24,4897.188369488531
421,CY_H_Demand,2050,2,1,1,-19804.962536445015
422,CY_H_Demand,2050,2,2,2,6601.654178815005
423,CY_H_Demand,2050,2,3,3,6601.654178815005
424,CY_H_Demand,2050,2,4,4,6601.654178815005
425,CY_H_Demand,2050,2,5,5,-19804.962536445015
426,CY_H_Demand,2050,2,6,6,6601.654178815005
427,CY_H_Demand,2050,2,7,7,6601.654178815005
428,CY_H_Demand,2050,2,8,8,6601.654178815005
429,CY_H_Demand,2050,2,9,9,-19804.962536445015
430,CY_H_Demand,2050,2,10,10,6601.654178815005
431,CY_H_Demand,2050,2,11,11,6601.654178815005
432,CY_H_Demand,2050,2,12,12,6601.654178815005
433,CY_H_Demand,2050,2,13,13,-19804.962536445015
434,CY_H_Demand,2050,2,14,14,6601.654178815005
435,CY_H_Demand,2050,2,15,15,6601.654178815005
436,CY_H_Demand,2050,2,16,16,6601.654178815005
437,CY_H_Demand,2050,2,17,17,-19804.962536445015
438,CY_H_Demand,2050,2,18,18,6601.654178815005
439,CY_H_Demand,2050,2,19,19,6601.654178815005
440,CY_H_Demand,2050,2,20,20,6601.654178815005
441,CY_H_Demand,2050,2,21,21,-19804.962536445015
442,CY_H_Demand,2050,2,22,22,6601.654178815005
443,CY_H_Demand,2050,2,23,23,6601.654178815005
444,CY_H_Demand,2050,2,24,24,6601.654178815005
445,CY_H_Demand,2050,3,1,1,-20253.472355089394
446,CY_H_Demand,2050,3,2,2,6751.157451696465
447,CY_H_Demand,2050,3,3,3,6751.157451696465
448,CY_H_Demand,2050,3,4,4,6751.157451696465
449,CY_H_Demand,2050,3,5,5,-20253.472355089394
450,CY_H_Demand,2050,3,6,6,6751.157451696465
