id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flows_limit_simple_method
371,BE_OCGT,2050,1,21,22,0.0
372,BE_OCGT,2050,1,23,24,0.0
373,BE_OCGT,2050,2,1,2,0.0
374,BE_OCGT,2050,2,3,4,0.0
375,BE_OCGT,2050,2,5,6,0.0
376,BE_OCGT,2050,2,7,8,0.0
377,BE_OCGT,2050,2,9,10,0.0
378,BE_OCGT,2050,2,11,12,0.0
379,BE_OCGT,2050,2,13,14,0.0
380,BE_OCGT,2050,2,15,16,0.0
381,BE_OCGT,2050,2,17,18,0.0
382,BE_OCGT,2050,2,19,20,0.0
383,BE_OCGT,2050,2,21,22,0.0
384,BE_OCGT,2050,2,23,24,0.0
385,BE_OCGT,2050,3,1,2,0.0
386,BE_OCGT,2050,3,3,4,0.0
387,BE_OCGT,2050,3,5,6,0.0
388,BE_OCGT,2050,3,7,8,0.0
389,BE_OCGT,2050,3,9,10,0.0
390,BE_OCGT,2050,3,11,12,0.0
391,BE_OCGT,2050,3,13,14,0.0
392,BE_OCGT,2050,3,15,16,0.0
393,BE_OCGT,2050,3,17,18,0.0
394,BE_OCGT,2050,3,19,20,0.0
395,BE_OCGT,2050,3,21,22,0.0
396,BE_OCGT,2050,3,23,24,0.0
397,BE_Solar,2050,1,1,2,0.0
398,BE_Solar,2050,1,3,4,7.323031070427533e-13
399,BE_Solar,2050,1,5,6,-0.0
400,BE_Solar,2050,1,7,8,-0.0
401,BE_Solar,2050,1,9,10,-0.0
402,BE_Solar,2050,1,11,12,-0.0
403,BE_Solar,2050,1,13,14,0.0
404,BE_Solar,2050,1,15,16,-0.0
405,BE_Solar,2050,1,17,18,5.526690216584029e-13
406,BE_Solar,2050,1,19,20,-0.0
407,BE_Solar,2050,1,21,22,-0.0
408,BE_Solar,2050,1,23,24,0.0
409,BE_Solar,2050,2,1,2,-3036.7609222549045
410,BE_Solar,2050,2,3,4,-3036.7609222549045
411,BE_Solar,2050,2,5,6,-3036.7609222549045
412,BE_Solar,2050,2,7,8,-3036.7609222549027
413,BE_Solar,2050,2,9,10,-1518.3804611274522
414,BE_Solar,2050,2,11,12,-0.0
415,BE_Solar,2050,2,13,14,-0.0
416,BE_Solar,2050,2,15,16,-0.0
417,BE_Solar,2050,2,17,18,-1518.3804611274522
418,BE_Solar,2050,2,19,20,-3036.7609222549045
419,BE_Solar,2050,2,21,22,-3036.7609222549045
420,BE_Solar,2050,2,23,24,-3036.7609222549045
421,BE_Solar,2050,3,1,2,0.0
422,BE_Solar,2050,3,3,4,0.0
423,BE_Solar,2050,3,5,6,0.0
424,BE_Solar,2050,3,7,8,-0.0
425,BE_Solar,2050,3,9,10,-0.0
426,BE_Solar,2050,3,11,12,-0.0
427,BE_Solar,2050,3,13,14,-0.0
428,BE_Solar,2050,3,15,16,-0.0
429,BE_Solar,2050,3,17,18,-0.0
430,BE_Solar,2050,3,19,20,-0.0
431,BE_Solar,2050,3,21,22,7.815970093361102e-14
432,BE_Solar,2050,3,23,24,0.0
433,BE_Wind_Offshore,2050,1,1,2,-7.323031070427533e-13
434,BE_Wind_Offshore,2050,1,3,4,7.323031070427533e-13
435,BE_Wind_Offshore,2050,1,5,6,-0.0
436,BE_Wind_Offshore,2050,1,7,8,-0.0
437,BE_Wind_Offshore,2050,1,9,10,-0.0
438,BE_Wind_Offshore,2050,1,11,12,-0.0
439,BE_Wind_Offshore,2050,1,13,14,-0.0
440,BE_Wind_Offshore,2050,1,15,16,-0.0
441,BE_Wind_Offshore,2050,1,17,18,5.526690216584029e-13
442,BE_Wind_Offshore,2050,1,19,20,-0.0
443,BE_Wind_Offshore,2050,1,21,22,-0.0
444,BE_Wind_Offshore,2050,1,23,24,-0.0
